Gene	Group
KCTD12	Group2
SLC6A9	Group2
ARHGEF2	Group2
FAM171B	Group2
RAB7B	Group2
COL1A1	Group2
VCAM1	Group2
RAP2B	Group2
TSLP	Group2
NEK10	Group2
TMEM119	Group2
GXYLT2	Group2
TMEM200A	Group2
SLC6A6	Group2
TRIM45	Group2
SOX4	Group2
C14orf132	Group2
LRRTM2	Group2
TBX18	Group2
CREB5	Group2
RND2	Group2
DNM1	Group2
TENT5A	Group2
CRABP2	Group2
DBP	Group2
LHFPL2	Group2
P2RX7	Group2
PER3	Group2
QPRT	Group2
RPS6KA5	Group2
PRSS35	Group2
ADAMTS14	Group2
TUBA4A	Group2
SLC7A14	Group2
NOV	Group2
GALM	Group2
NCKAP5	Group2
RTKN2	Group2
TENT5C	Group2
LDB2	Group2
LIF	Group2
PGBD5	Group2
MARCKS	Group2
C4orf46	Group2
GALNT16	Group2
TMEM26	Group2
CIT	Group2
RGL1	Group2
OMG	Group2
BRCA1	Group2
FLRT3	Group2
CXCL12	Group2
AMOT	Group2
NYNRIN	Group2
CNIH3	Group2
WDR63	Group2
FER1L6	Group2
GPR68	Group2
ADAM12	Group2
NEK11	Group2
AQP3	Group2
CLDN11	Group2
MARCKSL1	Group2
CLIC2	Group2
VASH2	Group2
S1PR1	Group2
RAB11FIP4	Group2
HSPA12B	Group2
GDF15	Group2
CAMK4	Group2
PLA2G4A	Group2
BDKRB2	Group2
ADM2	Group2
TNFSF13B	Group2
EGR2	Group2
DDIT3	Group2
SLC22A23	Group2
GRAMD4	Group2
CTTNBP2	Group2
WARS	Group2
DUSP10	Group2
ZNF821	Group2
MIR99AHG	Group2
PLEKHG4	Group2
ADCY4	Group2
TNIK	Group2
CCDC34	Group2
CPZ	Group2
XAF1	Group2
C20orf96	Group2
STIM2	Group2
FST	Group2
G0S2	Group2
IL34	Group2
AL035681.1	Group2
PRKCE	Group2
LINC00906	Group2
AIF1L	Group2
TUBA1A	Group2
SPARCL1	Group1
STOM	Group1
PER1	Group1
PHC2	Group1
MT2A	Group1
DUSP1	Group1
MAOA	Group1
ZBTB16	Group1
SAMHD1	Group1
NEXN	Group1
FKBP5	Group1
DNAJB4	Group1
NNMT	Group1
ABAT	Group1
FAM198B	Group1
CCDC69	Group1
GLUL	Group1
SMIM3	Group1
JADE1	Group1
STEAP1	Group1
KLF15	Group1
FGD4	Group1
ARMC8	Group1
MORF4L2	Group1
CACNB2	Group1
ERRFI1	Group1
CRISPLD2	Group1
APBB2	Group1
PNPLA2	Group1
KLF9	Group1
IMPA2	Group1
TIMP4	Group1
IRS2	Group1
TENT5B	Group1
GPX3	Group1
TCEAL4	Group1
MPP3	Group1
TSC22D3	Group1
HPS5	Group1
AC079467.1	Group1
WASF3	Group1
FZD8	Group1
PDLIM5	Group1
ACSL1	Group1
DCXR	Group1
ADAMTS1	Group1
ANXA4	Group1
FOXO3	Group1
ZHX3	Group1
STEAP2	Group1
CEBPD	Group1
AP1M1	Group1
METTL7A	Group1
MARCH10	Group1
TST	Group1
TRPC6	Group1
LINC00968	Group1
ALOX15B	Group1
MT1E	Group1
HIGD1A	Group1
FOXO1	Group1
MINDY2	Group1
TGFBR2	Group1
SLC7A6	Group1
SLC45A1	Group1
MT1X	Group1
SORT1	Group1
CORO6	Group1
TLDC2	Group1
SAMD4A	Group1
TRNP1	Group1
KLHL42	Group1
SYN2	Group1
GADD45B	Group1
KCNK6	Group1
LINC00702	Group1
TJP2	Group1
SAT1	Group1
GLS	Group1
ADRA1B	Group1
ENDOD1	Group1
AFAP1L1	Group1
TXNRD1	Group1
PRR5L	Group1
MYADM	Group1
PCYT2	Group1
SAP30	Group1
CHST7	Group1
CFLAR	Group1
TSC22D1	Group1
NUAK1	Group1
EOGT	Group1
MMD	Group1
AGTRAP	Group1
AC090673.1	Group1
KLF6	Group1
LAMA2	Group1
RNF217	Group1
MAFF	Group1
VCAM1	Group3
KCTD12	Group3
ADAM12	Group3
PRSS35	Group3
DNM1	Group3
CCKAR	Group3
SOX4	Group3
CXCL12	Group3
WNT2	Group3
GXYLT2	Group3
COL1A1	Group3
LHFPL2	Group3
ADAMTS14	Group3
SLC6A6	Group3
NOV	Group3
TBX18	Group3
IGDCC4	Group3
AMOT	Group3
SLC6A9	Group3
C14orf132	Group3
MEST	Group3
FST	Group3
CDKN1A	Group3
GDF15	Group3
SLC7A14	Group3
ITGA11	Group3
PDE5A	Group3
MXRA5	Group3
PLPP3	Group3
TSLP	Group3
FER1L6	Group3
LRRC17	Group3
BDKRB2	Group3
RAP2B	Group3
FAM171B	Group3
CRABP2	Group3
MARCKS	Group3
EPHB2	Group3
PIEZO2	Group3
RAB7B	Group3
ARHGEF2	Group3
NEK10	Group3
NYNRIN	Group3
CREB5	Group3
PHGDH	Group3
SCD	Group3
TUBA1A	Group3
QPRT	Group3
TMEM119	Group3
AIF1L	Group3
PGBD5	Group3
RND2	Group3
FLRT3	Group3
TENT5A	Group3
ADCY1	Group3
LRRC15	Group3
HSPA4L	Group3
IGSF10	Group3
CLDN11	Group3
VWCE	Group3
TMEM35A	Group3
ARHGAP28	Group3
TMEM200A	Group3
TSPAN11	Group3
AQP3	Group3
TRIM45	Group3
CPA4	Group3
SGCD	Group3
MARCKSL1	Group3
TUBA4A	Group3
RPS6KA5	Group3
LIF	Group3
GALM	Group3
SIPA1L2	Group3
WARS	Group3
NCKAP5	Group3
PLA2G4A	Group3
ARSI	Group3
PRKCE	Group3
PRKG2	Group3
SLC39A10	Group3
PPP1R1B	Group3
LDB2	Group3
P2RX7	Group3
DUSP10	Group3
S1PR1	Group3
RHOJ	Group3
GALNT16	Group3
IFIT1	Group3
ST8SIA1	Group3
ALDH1A3	Group3
SEMA3A	Group3
OSBPL3	Group3
PLK2	Group3
PSAT1	Group3
EPHB3	Group3
MEX3B	Group3
SMTNL2	Group3
TUBB	Group3
SPARCL1	Group4
CACNB2	Group4
SAMHD1	Group4
DUSP1	Group4
MAOA	Group4
GPX3	Group4
STEAP2	Group4
NEXN	Group4
MT2A	Group4
ADAMTS1	Group4
FGD4	Group4
PER1	Group4
PDPN	Group4
SORT1	Group4
KLF15	Group4
SYNPO2	Group4
CCDC69	Group4
ACSS1	Group4
TRNP1	Group4
DNAJB4	Group4
INHBB	Group4
PTX3	Group4
ADARB1	Group4
ERRFI1	Group4
STEAP4	Group4
KCNK6	Group4
TJP2	Group4
NNMT	Group4
RASL11A	Group4
STOM	Group4
TEX2	Group4
TIMP4	Group4
HSPA2	Group4
COL11A1	Group4
SUN2	Group4
LAMA2	Group4
PLXNA4	Group4
TCEAL4	Group4
PHC2	Group4
TSC22D1	Group4
FAM107A	Group4
HIF3A	Group4
SPON1	Group4
CDC42EP3	Group4
IMPA2	Group4
STEAP1	Group4
CRISPLD2	Group4
INPP5A	Group4
VGLL3	Group4
PPP1R14A	Group4
ZBTB16	Group4
EOGT	Group4
ENDOD1	Group4
ACSL1	Group4
FOXO1	Group4
ANXA4	Group4
FSTL3	Group4
METTL7A	Group4
CEBPD	Group4
USP53	Group4
TMEM47	Group4
IRS2	Group4
MT1E	Group4
KLF9	Group4
TRPC6	Group4
RAI2	Group4
LMCD1	Group4
SAMD4A	Group4
PDLIM5	Group4
DAAM2	Group4
TGFBR2	Group4
LINC00968	Group4
GPM6B	Group4
LMOD1	Group4
PRKAG2	Group4
IGFBP2	Group4
NR4A3	Group4
JADE1	Group4
GGT5	Group4
C1QTNF1	Group4
ARMC8	Group4
MINDY2	Group4
ZHX3	Group4
ATF3	Group4
FAM198B	Group4
MORF4L2	Group4
CTSC	Group4
COL7A1	Group4
CITED2	Group4
HPS5	Group4
FBN2	Group4
FZD8	Group4
MFGE8	Group4
CYTH3	Group4
AP1M1	Group4
LINC00702	Group4
FKBP5	Group4
TCEAL3	Group4
RAB11FIP1	Group4
