Gene	Transcription_factor
NR_029640	Med1
NM_011443	Med1
NM_011934	Med1
NM_026135	Nanog
NM_001034851	H3K27ac
NM_028838	Med1
NM_010139	H3K27ac
NM_001159634	H3K27ac
NM_027384	Med1
NM_010202	H3K27ac
NM_008652	H3K27ac
NM_176952	Med1
NM_001042503	H3K27ac
NM_010637	Med1
NM_010139	Med1
NR_003513	H3K27ac
NM_008562	Med1
NM_011934	H3K27ac
NM_011443	Esrrb
NR_027137	H3K27ac
NM_001115075	H3K27ac
NM_009823	Med1
NM_011443	H3K27ac
NM_012023	H3K27ac
NM_001034851	Med1
NM_008709	H3K27ac
NM_172963	H3K27ac
NM_008562	H3K27ac
NM_001110827	H3K27ac
NM_201395	H3K27ac
NM_021610	H3K27ac
NR_029640	H3K27ac
NM_028838	H3K27ac
NM_023403	H3K27ac
NM_001115075	Med1
NM_053100	H3K27ac
NM_007431	H3K27ac
NM_175092	H3K27ac
NM_015802	H3K27ac
NM_001085507	H3K27ac
NM_019574	H3K27ac
NM_007905	Med1
NM_025274	Med1
NM_011694	H3K27ac
NM_027384	H3K27ac
NM_009320	H3K27ac
NM_021390	Med1
NR_003513	Med1
NM_172963	Med1
NM_001083587	H3K27ac
NM_011443	Nanog
NM_010831	H3K27ac
NM_008652	Med1
NM_178114	H3K27ac
NM_001034851	H3K4me1
NM_008129	Sox2
NM_030724	H3K27ac
NM_011535	H3K27ac
NM_021390	H3K27ac
NM_010637	H3K27ac
NM_001081209	H3K4me1
NR_029640	Esrrb
NM_001177650	H3K27ac
NM_026942	Med1
NM_007958	Med1
NM_009600	H3K27ac
NM_027384	Esrrb
NM_009366	H3K27ac
NR_027059	H3K27ac
NM_008952	H3K27ac
NM_010202	Med1
NM_144531	H3K27ac
NM_011934	Esrrb
NM_021327	H3K27ac
NM_172424	Esrrb
NM_013642	H3K27ac
NM_010838	H3K27ac
NM_001115075	H3K4me1
NM_021366	H3K27ac
NR_029640	H3K4me1
NM_011934	H3K27ac
NM_011934	Med1
