Target_gene	Biological_process_description
IMPTAPA2N18434_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N9430_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N50854_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N52279_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N34454_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N12074_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N17543_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N18486_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N23106_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N37477_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N21328_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N13131_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N26306_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N54088_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N10825_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N42359_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N45614_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N6658_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N16600_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N51840_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N12469_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N46479_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N19692_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N3747_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N49609_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N39590_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N35601_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N12537_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N9174_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N36942_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N32843_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N31674_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N36602_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N40577_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N47628_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N43289_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N7679_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N9676_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N50783_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N26320_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N2818_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N7868_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N15074_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N33664_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N11277_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N2155_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N29508_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N33800_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N22367_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N48433_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N44143_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N11876_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N130_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N38206_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N39338_1	monocarboxylic_acid_biosynthetic_process
IMPTAPA2N25821_1	cellular_amino_acid_metabolic_process
IMPTAPA2N21029_1	cellular_amino_acid_metabolic_process
IMPTAPA2N40938_1	cellular_amino_acid_metabolic_process
IMPTAPA2N19103_1	cellular_amino_acid_metabolic_process
IMPTAPA2N17757_1	cellular_amino_acid_metabolic_process
IMPTAPA2N53249_1	cellular_amino_acid_metabolic_process
IMPTAPA2N37853_1	cellular_amino_acid_metabolic_process
IMPTAPA2N2121_1	cellular_amino_acid_metabolic_process
IMPTAPA2N18486_1	cellular_amino_acid_metabolic_process
IMPTAPA2N38057_1	cellular_amino_acid_metabolic_process
IMPTAPA2N39311_1	cellular_amino_acid_metabolic_process
IMPTAPA2N26306_1	cellular_amino_acid_metabolic_process
IMPTAPA2N43562_1	cellular_amino_acid_metabolic_process
IMPTAPA2N19692_1	cellular_amino_acid_metabolic_process
IMPTAPA2N13686_1	cellular_amino_acid_metabolic_process
IMPTAPA2N46780_1	cellular_amino_acid_metabolic_process
IMPTAPA2N4940_1	cellular_amino_acid_metabolic_process
IMPTAPA2N43878_1	cellular_amino_acid_metabolic_process
IMPTAPA2N29267_1	cellular_amino_acid_metabolic_process
IMPTAPA2N6540_1	cellular_amino_acid_metabolic_process
IMPTAPA2N29891_1	cellular_amino_acid_metabolic_process
IMPTAPA2N24974_1	cellular_amino_acid_metabolic_process
IMPTAPA2N14406_1	cellular_amino_acid_metabolic_process
IMPTAPA2N2144_1	cellular_amino_acid_metabolic_process
IMPTAPA2N42696_1	cellular_amino_acid_metabolic_process
IMPTAPA2N51772_1	cellular_amino_acid_metabolic_process
IMPTAPA2N53218_1	cellular_amino_acid_metabolic_process
IMPTAPA2N21437_1	cellular_amino_acid_metabolic_process
IMPTAPA2N2818_1	cellular_amino_acid_metabolic_process
IMPTAPA2N47095_1	cellular_amino_acid_metabolic_process
