OTU	Compartments
OTU_1	A
OTU_2	A
OTU_3	A
OTU_1	B
OTU_2	B
OTU_3	B
OTU_1	C
OTU_2	C
OTU_3	C
OTU_4	A
OTU_5	A
OTU_6	A
OTU_4	B
OTU_5	B
OTU_6	B
OTU_7	A
OTU_8	A
OTU_9	A
OTU_10	A
OTU_11	A
OTU_12	A
OTU_13	A
OTU_14	A
OTU_15	A
OTU_16	A
OTU_17	A
OTU_18	A
OTU_19	B
OTU_20	B
OTU_21	B
OTU_22	B
OTU_23	B
OTU_24	B
OTU_25	B
OTU_26	B
OTU_27	B
OTU_28	B
OTU_29	B
OTU_30	B
OTU_31	B
OTU_32	B
OTU_33	B
OTU_34	B
OTU_35	B
OTU_36	B
OTU_37	B
OTU_38	B
OTU_39	B
OTU_40	B
OTU_41	B
OTU_42	B
OTU_43	B
OTU_44	B
OTU_45	B
OTU_46	B
OTU_47	B
OTU_48	B
OTU_49	B
OTU_50	B
OTU_51	B
