Gene	Pathway
CDKN2B	P53_PATHWAY
HSPA4L	P53_PATHWAY
SDC1	P53_PATHWAY
HMOX1	P53_PATHWAY
RRAD	P53_PATHWAY
ZNF365	P53_PATHWAY
SOCS1	P53_PATHWAY
JAG2	P53_PATHWAY
TRIB3	P53_PATHWAY
TNFSF9	P53_PATHWAY
JUN	P53_PATHWAY
RAP2B	P53_PATHWAY
IER3	P53_PATHWAY
DDIT3	P53_PATHWAY
LIF	P53_PATHWAY
CXCL12	EPITHELIAL_MESENCHYMAL_TRANSITION
MEST	EPITHELIAL_MESENCHYMAL_TRANSITION
SDC1	EPITHELIAL_MESENCHYMAL_TRANSITION
MXRA5	EPITHELIAL_MESENCHYMAL_TRANSITION
SGCD	EPITHELIAL_MESENCHYMAL_TRANSITION
TNFRSF11B	EPITHELIAL_MESENCHYMAL_TRANSITION
VEGFA	EPITHELIAL_MESENCHYMAL_TRANSITION
RGS4	EPITHELIAL_MESENCHYMAL_TRANSITION
CADM1	EPITHELIAL_MESENCHYMAL_TRANSITION
JUN	EPITHELIAL_MESENCHYMAL_TRANSITION
CDH6	EPITHELIAL_MESENCHYMAL_TRANSITION
VCAM1	EPITHELIAL_MESENCHYMAL_TRANSITION
COL1A1	EPITHELIAL_MESENCHYMAL_TRANSITION
ADAM12	EPITHELIAL_MESENCHYMAL_TRANSITION
MAP3K8	TNFA_SIGNALING_VIA_NFKB
KLF9	TNFA_SIGNALING_VIA_NFKB
GCH1	TNFA_SIGNALING_VIA_NFKB
CEBPD	TNFA_SIGNALING_VIA_NFKB
NFIL3	TNFA_SIGNALING_VIA_NFKB
DNAJB4	TNFA_SIGNALING_VIA_NFKB
CFLAR	TNFA_SIGNALING_VIA_NFKB
GADD45B	TNFA_SIGNALING_VIA_NFKB
PDLIM5	TNFA_SIGNALING_VIA_NFKB
SAT1	TNFA_SIGNALING_VIA_NFKB
NR4A1	TNFA_SIGNALING_VIA_NFKB
KLF6	TNFA_SIGNALING_VIA_NFKB
DUSP5	TNFA_SIGNALING_VIA_NFKB
RHOB	TNFA_SIGNALING_VIA_NFKB
ATF3	TNFA_SIGNALING_VIA_NFKB
MAFF	TNFA_SIGNALING_VIA_NFKB
PER1	TNFA_SIGNALING_VIA_NFKB
GFPT2	TNFA_SIGNALING_VIA_NFKB
PTX3	TNFA_SIGNALING_VIA_NFKB
DUSP1	TNFA_SIGNALING_VIA_NFKB
RCAN1	TNFA_SIGNALING_VIA_NFKB
NR4A3	TNFA_SIGNALING_VIA_NFKB
IRS2	TNFA_SIGNALING_VIA_NFKB
TAGLN	EPITHELIAL_MESENCHYMAL_TRANSITION
SAT1	EPITHELIAL_MESENCHYMAL_TRANSITION
FBN2	EPITHELIAL_MESENCHYMAL_TRANSITION
COL7A1	EPITHELIAL_MESENCHYMAL_TRANSITION
LAMA2	EPITHELIAL_MESENCHYMAL_TRANSITION
THBS1	EPITHELIAL_MESENCHYMAL_TRANSITION
RHOB	EPITHELIAL_MESENCHYMAL_TRANSITION
PTX3	EPITHELIAL_MESENCHYMAL_TRANSITION
COL4A1	EPITHELIAL_MESENCHYMAL_TRANSITION
ANPEP	EPITHELIAL_MESENCHYMAL_TRANSITION
FSTL3	EPITHELIAL_MESENCHYMAL_TRANSITION
NNMT	EPITHELIAL_MESENCHYMAL_TRANSITION
LAMA3	EPITHELIAL_MESENCHYMAL_TRANSITION
FZD8	EPITHELIAL_MESENCHYMAL_TRANSITION
ACTA2	EPITHELIAL_MESENCHYMAL_TRANSITION
GADD45B	EPITHELIAL_MESENCHYMAL_TRANSITION
GCNT2	HYPOXIA
IRS2	HYPOXIA
FOXO3	HYPOXIA
SAP30	HYPOXIA
KLF6	HYPOXIA
GLRX	HYPOXIA
MAFF	HYPOXIA
UGP2	HYPOXIA
NFIL3	HYPOXIA
DUSP1	HYPOXIA
ATF3	HYPOXIA
MT2A	HYPOXIA
STC1	HYPOXIA
ERRFI1	HYPOXIA
ALOX15B	P53_PATHWAY
DCXR	P53_PATHWAY
FOXO3	P53_PATHWAY
SAT1	P53_PATHWAY
CCND3	P53_PATHWAY
INHBB	P53_PATHWAY
TM4SF1	P53_PATHWAY
ATF3	P53_PATHWAY
CD82	P53_PATHWAY
PDGFA	P53_PATHWAY
STOM	P53_PATHWAY
SLC19A2	P53_PATHWAY
ZBTB16	P53_PATHWAY
ABAT	P53_PATHWAY
ANXA4	UV_RESPONSE_DN
TGFBR2	UV_RESPONSE_DN
PDLIM5	UV_RESPONSE_DN
AMPH	UV_RESPONSE_DN
CYR61	UV_RESPONSE_DN
DDAH1	UV_RESPONSE_DN
PPARG	UV_RESPONSE_DN
DUSP1	UV_RESPONSE_DN
APBB2	UV_RESPONSE_DN
