Metabolite	Tissue
mws0217	FS1
pme2292	FS1
pme1987	FS1
Lmgn000188	FS1
MWS1787	FS1
MWS2040	FS1
MWSmce461	FS1
mws4052	FS1
pme1841	FS1
MWSmce585	FS1
pme3033	FS1
pme3011	FS1
pme3017	FS1
ML10172161	FS1
mws0574	FS1
mws0206	FS1
mws0576	FS1
pme1975	FS1
pmb0484	FS1
pme0010	FS1
pme2433	FS1
mws0267	FS1
mws0255	FS1
pme2122	FS1
pme0257	FS1
pme0006	FS1
pme0271	FS1
mws0823	FS1
mws0256	FS1
pme3096	FS1
mws0230	FS1
mws0671	FS1
pmp001287	FS1
pma0134	FS1
pme0195	FS1
pmp001086	FS1
Rfmb319	FS1
ML10181668	FS1
Zmdp000376	FS1
mws0425	FS1
mws1587	FS1
pme0274	FS1
mws0258	FS1
mws0227	FS1
mws1167	FS1
mws0001	FS1
Lmgn000160	FS1
pme2527	FS1
MWSmce609	FS1
MWS1882	FS1
mws0275	FS1
Lmbn000198	FS1
Zmdp000972	FS1
pme0040	FS1
pmb0374	FS1
HJKP000649	FS1
mws0889	FS1
pme0033	FS1
MWSmce584	FS1
pma0948	FS1
pma2987	FS1
pme3207	FS1
pme2879	FS1
Hmsp000364	FS1
MWS3020	FS1
Lmqp000427	FS1
pme2380	FS1
Wmzn000227	FS1
pme0193	FS1
pme0026	FS1
pme0014	FS1
Zmgn000173	FS1
pmf0420	FS1
Lmxn006423	FS1
pme0183	FS1
pme1109	FS1
MWS2984	FS1
mws0943	FS1
pme0513	FS1
mws0437	FS1
MWSslk102	FS1
mws0254	FS1
pme2165	FS1
pmf0174	FS1
Zmdp000917	FS1
pme0128	FS1
pme1383	FS1
Zmzn000078	FS1
Lmbn003524	FS1
MA10039492	FS1
mws0242	FS1
Zmyn000155	FS1
MWSmce119	FS1
Hmfn000531	FS1
pme2596	FS1
pmb1754	FS1
MWS1816	FS1
mws0237	FS1
mws0736	FS1
mws5041	FS1
pme0122	FS1
Zmjp000182	FS1
pme3388	FS1
MWSslk080	FS1
Zmzp000145	FS1
pme0075	FS1
pme0278	FS1
mws0281	FS1
Zmyn000453	FS1
mws0277	FS1
Zmyn000108	FS1
Zmpn000199	FS1
Hmcn000192	FS1
mws0863	FS1
pmb2507	FS1
MWS1900	FS1
pme1228	FS1
pme2755	FS1
mws2608	FS1
mws4174	FS1
pme2773	FS1
MWS4296	FS1
mws5042	FS1
pma6455	FS1
pme2827	FS1
MWS2910	FS1
MWS2430	FS1
mws0359	FS1
pme3732	FS1
ML10180524	FS1
MWSmce295	FS1
mws0248	FS1
MWS5231	FS1
Lmhp002031	FS1
Lmrj002087	FS1
pme3961	FS1
Rfmb087	FS1
pme2117	FS1
Zmgn000503	FS1
Rfmb320	FS1
mws0397	FS1
pmn001691	FS1
mws0217	FS2
pme2292	FS2
pme1987	FS2
Lmgn000188	FS2
MWS1787	FS2
MWS2040	FS2
MWSmce461	FS2
mws4052	FS2
pme1841	FS2
MWSmce585	FS2
pme3033	FS2
pme3011	FS2
pme3017	FS2
ML10172161	FS2
mws0574	FS2
mws0206	FS2
mws0576	FS2
pme1975	FS2
pmb0484	FS2
pme0010	FS2
pme2433	FS2
mws0267	FS2
mws0255	FS2
pme2122	FS2
pme0257	FS2
pme0006	FS2
pme0271	FS2
mws0823	FS2
mws0256	FS2
pme3096	FS2
mws0230	FS2
mws0671	FS2
pmp001287	FS2
pma0134	FS2
pme0195	FS2
pmp001086	FS2
Rfmb319	FS2
ML10181668	FS2
Zmdp000376	FS2
mws0425	FS2
mws1587	FS2
pme0274	FS2
mws0258	FS2
mws0227	FS2
mws1167	FS2
