OTUID	Group
ASV_2	KO5
ASV_2	KO3
ASV_2	KO4
ASV_2	KO1
ASV_3	WT2
ASV_2	KO6
ASV_20	WT5
ASV_8	OE3
ASV_2	WT2
ASV_4	KO1
ASV_6	KO5
ASV_2	WT5
ASV_4	KO5
ASV_4	WT2
ASV_3	KO5
ASV_113	KO4
ASV_2	OE4
ASV_2	WT1
ASV_7	OE2
ASV_7	KO5
ASV_2	WT6
ASV_3	WT4
ASV_7	KO3
ASV_2	OE3
ASV_3	WT5
ASV_2	KO2
ASV_23	KO3
ASV_4	WT5
ASV_2	WT4
ASV_10	KO5
ASV_3	OE3
ASV_6	KO6
ASV_3	KO3
ASV_3	OE4
ASV_4	WT1
ASV_3	WT3
ASV_8	WT4
ASV_2	OE5
ASV_18	KO2
ASV_3	WT1
ASV_3	OE5
ASV_7	WT2
ASV_6	KO4
ASV_6	KO3
ASV_3	KO6
ASV_6	KO1
ASV_8	OE4
ASV_43	WT1
ASV_3	KO4
ASV_4	WT6
ASV_7	OE3
ASV_16	WT5
ASV_8	WT2
ASV_7	WT6
ASV_9	KO2
ASV_3	WT6
ASV_2	WT3
ASV_13	OE2
ASV_10	KO4
ASV_9	WT5
ASV_18	WT1
ASV_7	WT1
ASV_4	KO4
ASV_18	WT3
ASV_18	OE5
ASV_2	OE1
ASV_3	OE6
ASV_10	KO6
ASV_2	OE6
ASV_18	WT5
ASV_6	KO2
ASV_10	KO3
ASV_8	WT1
ASV_9	OE3
ASV_26	WT6
ASV_13	KO3
ASV_49	KO3
ASV_18	WT2
ASV_16	OE3
ASV_8	KO3
ASV_4	OE5
ASV_3	KO1
ASV_17	KO6
ASV_4	OE4
ASV_8	OE5
ASV_168	KO4
ASV_3	OE1
ASV_9	OE5
ASV_42	WT2
ASV_4	OE1
ASV_9	WT6
ASV_14	KO5
ASV_10	WT2
ASV_13	OE3
ASV_8	WT3
ASV_7	WT5
ASV_13	WT6
ASV_4	OE2
ASV_4	WT3
ASV_8	KO2
ASV_40	OE6
ASV_6	WT2
ASV_12	WT2
ASV_4	WT4
ASV_14	WT6
ASV_18	OE4
ASV_8	OE6
ASV_10	WT5
ASV_8	KO1
ASV_113	KO5
ASV_9	WT1
ASV_6	WT4
ASV_11	KO5
ASV_18	KO6
ASV_7	WT3
ASV_14	WT5
ASV_9	KO6
ASV_8	WT6
ASV_8	OE2
ASV_4	KO3
ASV_14	OE5
ASV_22	KO3
ASV_40	OE1
ASV_13	OE4
ASV_4	KO6
ASV_14	OE2
ASV_6	WT1
ASV_7	OE4
ASV_13	WT5
ASV_24	WT4
ASV_11	WT3
ASV_28	KO4
ASV_3	KO2
ASV_11	WT2
ASV_12	WT4
ASV_11	OE1
ASV_16	KO3
ASV_2	OE2
ASV_8	WT5
ASV_22	KO4
ASV_14	OE3
ASV_114	OE6
ASV_6	WT6
ASV_24	KO3
ASV_28	WT5
ASV_17	KO1
ASV_9	KO4
ASV_6	WT5
ASV_18	KO1
ASV_17	KO4
ASV_63	OE4
ASV_12	KO5
ASV_16	WT1
ASV_17	KO5
ASV_6	WT3
ASV_26	WT1
ASV_9	WT4
ASV_14	WT3
ASV_24	KO2
ASV_9	OE4
ASV_11	OE4
ASV_41	KO5
ASV_18	OE1
ASV_15	KO2
ASV_3	OE2
ASV_18	WT6
ASV_28	WT2
ASV_15	KO3
ASV_8	KO4
ASV_22	KO5
ASV_18	KO4
ASV_9	OE2
ASV_6	OE4
ASV_20	KO2
ASV_88	KO6
ASV_9	OE6
ASV_12	WT3
ASV_15	KO6
ASV_6	OE5
ASV_9	WT3
ASV_7	KO4
ASV_45	KO5
ASV_38	KO6
ASV_4	KO2
ASV_11	KO2
ASV_6	OE6
ASV_18	OE6
ASV_21	WT5
ASV_14	WT1
ASV_28	WT1
ASV_11	WT4
ASV_15	OE1
ASV_10	OE5
ASV_15	OE5
ASV_11	WT6
ASV_10	WT1
ASV_11	WT1
ASV_15	WT4
ASV_26	KO4
ASV_15	KO5
ASV_70	KO5
ASV_49	OE3
ASV_18	WT4
ASV_18	OE2
ASV_11	OE2
ASV_4	OE3
ASV_12	KO4
ASV_15	OE6
ASV_8	OE1
ASV_23	WT6
ASV_15	KO4
ASV_9	KO3
ASV_11	KO6
ASV_12	WT1
ASV_10	KO2
ASV_17	KO3
ASV_53	KO5
ASV_4	OE6
ASV_12	KO2
ASV_11	KO4
ASV_13	OE5
ASV_63	OE6
ASV_16	WT6
ASV_54	KO4
ASV_71	KO6
ASV_93	OE2
ASV_31	KO3
ASV_14	KO4
ASV_179	KO4
ASV_31	KO5
ASV_12	KO6
ASV_96	KO5
ASV_83	KO6
ASV_11	OE5
ASV_35	WT2
ASV_15	WT6
ASV_30	WT6
ASV_14	KO3
ASV_163	OE4
ASV_17	WT1
ASV_154	WT4
ASV_9	OE1
ASV_18	OE3
ASV_12	OE5
ASV_36	WT2
ASV_21	KO2
ASV_12	KO3
ASV_12	OE4
ASV_9	KO1
ASV_12	OE3
ASV_49	OE4
ASV_15	WT5
ASV_28	KO2
ASV_6	OE3
ASV_16	WT2
ASV_28	WT4
ASV_38	KO5
ASV_15	WT3
ASV_16	WT4
ASV_70	KO3
ASV_36	KO6
ASV_16	OE4
ASV_9	WT2
ASV_31	WT5
ASV_12	WT6
ASV_1276	KO3
ASV_18	KO3
ASV_103	KO5
ASV_28	OE2
ASV_113	WT1
ASV_21	WT2
ASV_30	WT3
ASV_17	WT4
ASV_14	KO6
ASV_14	OE4
ASV_10	KO1
ASV_13	KO4
ASV_29	KO4
ASV_28	KO1
ASV_98	KO5
ASV_23	OE1
ASV_10	OE4
ASV_12	WT5
