Tax	Group
Tax_2	N2
Tax_3	N2
Tax_3	N6
Tax_4	N2
Tax_5	C4
Tax_5	N3
Tax_5	N4
Tax_5	N5
Tax_6	N2
Tax_7	N1
Tax_8	N6
Tax_9	N6
Tax_10	C1
Tax_10	N1
Tax_11	C1
Tax_11	N1
Tax_12	N6
Tax_13	N6
Tax_14	C2
Tax_14	C3
Tax_14	C4
Tax_14	C6
Tax_14	N1
Tax_14	N2
Tax_14	N5
Tax_15	C5
Tax_16	C1
Tax_16	N6
Tax_17	N6
Tax_18	N6
Tax_19	C6
Tax_20	C6
Tax_21	N1
Tax_21	N5
Tax_22	N6
Tax_23	C1
Tax_23	C3
Tax_23	C5
Tax_23	N1
Tax_23	N5
Tax_23	N6
Tax_24	C3
Tax_24	C4
Tax_24	N4
Tax_24	N6
Tax_25	C1
Tax_25	C5
Tax_25	N1
Tax_26	C3
Tax_26	N3
Tax_26	N5
Tax_27	C3
Tax_27	C6
Tax_27	N6
Tax_28	N3
Tax_29	C5
Tax_30	C5
Tax_30	N3
Tax_31	N3
Tax_31	N5
Tax_32	N2
Tax_33	N3
Tax_33	N5
Tax_34	C4
Tax_34	N1
Tax_34	N4
Tax_34	N5
Tax_34	N6
Tax_35	C4
Tax_35	C6
Tax_35	N2
Tax_35	N3
Tax_35	N4
Tax_35	N5
Tax_36	N6
Tax_37	C6
Tax_38	C1
Tax_39	C1
Tax_40	N6
Tax_41	C4
Tax_42	C1
Tax_43	C1
Tax_44	C1
Tax_45	N1
Tax_45	N6
Tax_46	N6
Tax_47	C6
Tax_48	N2
Tax_48	N5
Tax_49	C4
Tax_49	N2
Tax_49	N4
Tax_49	N5
Tax_49	N6
Tax_50	C2
Tax_50	C3
Tax_50	C4
Tax_50	N1
Tax_50	N2
Tax_50	N3
Tax_50	N4
Tax_50	N5
Tax_50	N6
Tax_51	C1
Tax_51	C3
Tax_51	C5
Tax_51	C6
Tax_51	N1
Tax_51	N3
Tax_51	N5
Tax_51	N6
Tax_52	C3
Tax_52	C4
Tax_52	N1
Tax_52	N3
Tax_52	N4
Tax_52	N5
Tax_53	C1
Tax_53	C3
Tax_53	C4
Tax_53	C5
Tax_53	N1
Tax_53	N2
Tax_53	N3
Tax_53	N5
Tax_53	N6
Tax_54	N6
Tax_55	C5
Tax_55	C6
Tax_55	N1
Tax_55	N6
Tax_56	C6
Tax_57	C2
Tax_57	C3
Tax_57	C4
Tax_58	N2
Tax_59	C1
Tax_60	C4
Tax_60	N3
Tax_60	N4
Tax_60	N5
Tax_61	C4
Tax_61	N3
Tax_61	N4
Tax_62	C4
Tax_62	N3
Tax_62	N4
Tax_63	C2
Tax_63	C3
Tax_63	C4
Tax_63	C6
Tax_63	N1
Tax_63	N2
Tax_63	N3
Tax_63	N5
Tax_63	N6
Tax_64	N6
Tax_65	C1
Tax_65	C5
Tax_66	N2
Tax_67	C2
Tax_67	C4
Tax_67	N4
Tax_68	C5
Tax_69	C1
Tax_69	C5
Tax_69	N1
Tax_69	N6
Tax_70	N6
Tax_71	N6
Tax_72	C4
Tax_72	N4
Tax_73	C2
Tax_73	C3
Tax_73	C4
Tax_73	C6
Tax_73	N2
Tax_73	N3
Tax_73	N4
Tax_73	N5
Tax_73	N6
Tax_74	N4
Tax_75	C2
Tax_75	C4
Tax_75	N4
Tax_76	N6
