ID	chrom	start	end	Gene	isSuper	Oct4	Sox2	Nanog	Klf4	Esrrb	H3K27ac	Med1	H3K4me1	DNase
INT_STITCHED_45	chr1	13049615	13094765	NM_001081209	YES	20317.5	20525.19	24796.38	11603.55	13838.475	29035.965	24697.05	33067.86	15775.41
INT_STITCHED_88	chr1	34130107	34134640	NM_133833	YES	3694.395	3784.1484	6250.1004	3066.1212	2993.1399	8856.5754	7250.5335	2513.0952	4143.6153
INT_STITCHED_100	chr1	36070190	36074608	NM_015818	YES	3101.436	2664.9376	4254.9758	2331.8204	4975.1098	11454.9904	6296.9754	5153.597	6391.5206
INT_STITCHED_101	chr1	36111164	36118698	NM_015818	YES	4475.9494	4226.574	5197.7066	3025.6544	8412.4644	17090.1256	8433.5596	11936.8696	7643.243
INT_STITCHED_108	chr1	37039139	37045411	NM_018872	YES	11539.8528	15173.2224	19694.7072	2944.0768	6280.7808	14611.2512	18349.9904	8017.4976	15307.4432
INT_STITCHED_230	chr1	72260528	72261272	NM_001005423	YES	896.8176	1199.1792	1952.9256	1438.3008	3196.5216	3566.6616	7057.7328	841.5384	1290.7656
INT_STITCHED_237	chr1	72839563	72858199	NM_008342	YES	2705.9472	4006.74	7079.8164	890.8008	3468.1596	9459.6336	11092.1472	9226.6836	6981.0456
INT_STITCHED_282	chr1	84857219	84887132	NM_025386	YES	8238.0402	5827.0524	8073.5187	1630.2585	17460.2181	25061.1114	17932.8435	23526.5745	20050.6839
INT_STITCHED_315	chr1	91766947	91773527	NM_010262	YES	2912.308	2630.684	3468.976	2114.154	2052.96	4989.614	5796.98	9602.194	4877.754
INT_STITCHED_368	chr1	120538712	120545414	NM_023755	YES	3686.7702	3807.4062	4387.1292	2351.0616	21158.214	16884.3486	11413.506	10213.1778	6518.3652
INT_STITCHED_372	chr1	120971968	120973737	NM_001081125	YES	3665.0142	3113.0862	6794.1983	4165.6412	20003.6751	5085.6981	13554.7856	941.4618	8615.5607
INT_STITCHED_374	chr1	121201424	121202481	NM_008381	YES	1342.2843	1429.3811	4380.4194	879.5297	15375.7562	976.4566	7625.6208	1018.1024	3922.3156
INT_STITCHED_376	chr1	121295085	121296031	NM_008381	YES	1530.155	1328.2786	3683.8186	986.3942	5160.8084	681.7822	9137.3194	341.2222	3968.1862
INT_STITCHED_449	chr1	137071028	137096284	NM_134438	YES	6038.7096	4005.6016	5776.0472	6008.4024	13398.308	26357.1616	11494.0056	19798.1784	8508.7464
INT_STITCHED_464	chr1	138586629	138593131	NM_001160251	YES	2054.632	1027.316	4203.543	3353.7316	5165.1888	8199.022	8236.7336	7489.0036	6789.3884
INT_STITCHED_466	chr1	138841643	138850970	NM_001159769	YES	5086.0131	4779.1548	7653.7362	3519.0771	10891.1379	15308.4051	8345.7996	4952.637	7582.851
INT_STITCHED_508	chr1	154939892	154943709	NM_008485	YES	5676.6424	5283.1097	5796.4962	1663.4486	3847.9177	14532.8458	8205.0232	3004.7424	7727.8982
INT_STITCHED_556	chr1	168054897	168073079	NM_021610	YES	7534.6208	4845.503	8096.4446	5427.327	14323.7796	44056.8042	11287.3856	11221.9304	15669.2476
INT_STITCHED_559	chr1	169201106	169220423	NM_030724	YES	5441.5989	3531.1476	5883.9582	5186.6145	15668.0187	34397.7819	7039.1148	14854.773	7348.1868
INT_STITCHED_610	chr1	182818684	182819554	NM_177099	YES	4217.76	2689.17	5732.691	2504.643	2780.52	2621.919	16137.543	53.244	4042.629
INT_STITCHED_611	chr1	182854521	182864307	NM_010094	YES	7772.0412	7819.9926	13446.9426	509.8506	4699.2372	6249.3396	17607.9498	7438.3386	4274.5248
INT_STITCHED_615	chr1	183948212	183961841	NM_010135	YES	7576.3611	8411.8188	11914.4718	2845.7352	9165.5025	27894.4743	9897.3798	6371.5575	10058.202
INT_STITCHED_746	chr2	20574602	20591747	NM_001177631	YES	10024.6815	8023.86	9241.155	2089.9755	6880.2885	26720.4825	28371.546	21696.9975	13805.154
INT_STITCHED_803	chr2	30913257	30925299	NM_001177650	YES	4667.4792	3814.9056	3309.1416	1007.9154	6702.5772	32895.1314	6293.1492	12144.357	5822.307
INT_STITCHED_812	chr2	32008891	32030736	NM_001159634	YES	6131.8915	3999.8195	5483.095	4275.0665	5819.508	75636.128	24676.112	23522.696	8349.159
INT_STITCHED_817	chr2	33282029	33300860	NM_001085507	YES	6212.3469	3302.9574	3939.4452	5545.7295	15416.9397	40236.1977	17315.1045	23851.3446	10404.1275
INT_STITCHED_928	chr2	71488013	71494617	NM_201366	YES	3700.8816	2911.0432	4676.2924	2920.9492	11063.0208	12102.4904	10072.4208	8138.7696	7965.0844
INT_STITCHED_931	chr2	71575856	71583914	NM_201366	YES	4051.5624	2029.0044	2142.6222	222.4008	6033.8304	12797.7156	5920.2126	5548.7388	3481.8618
INT_STITCHED_1196	chr2	152002668	152003777	NM_009328	YES	1044.8998	1725.1604	811.6771	1462.771	12433.2208	6497.7419	10768.6118	568.3625	3662.1398
INT_STITCHED_1198	chr2	152552277	152563676	NM_010495	YES	2782.4959	1592.4403	4523.1232	3439.0783	2742.5994	14751.4459	7309.0388	6324.1652	5672.1424
INT_STITCHED_1210	chr2	154242651	154254374	NM_009823	YES	9655.0628	8507.3811	9067.7405	3234.3757	27599.4589	27779.9931	46897.8615	11418.202	12468.5828
INT_STITCHED_1256	chr2	162856904	162860933	NM_172150	YES	5883.9516	6116.022	5670.4146	245.769	6664.3689	4986.6933	8587.8135	5408.9325	4595.8803
INT_STITCHED_1257	chr2	162877048	162893236	NM_008652	YES	11171.3388	9403.6092	8756.0892	3990.342	29237.1468	58819.098	35178.1428	10488.2052	16683.3528
INT_STITCHED_1279	chr2	165981373	165983444	NM_028072	YES	4178.0354	2478.7799	2781.353	3895.1368	4100.58	6795.7794	9903.1078	1642.5101	5425.3987
INT_STITCHED_1300	chr2	168589688	168617170	NM_201395	YES	7832.37	7087.6078	7431.1328	2984.5452	16909.6746	44105.8618	11438.0084	16618.3654	13100.6694
INT_STITCHED_1392	chr3	9641461	9655131	NM_133218	YES	6333.311	5090.708	5931.413	2461.967	13525.098	17433.351	7586.85	14466.961	5272.519
INT_STITCHED_1480	chr3	34544904	34553511	NM_011443	YES	13940.7579	8539.8654	12960.4206	644.6643	910.6206	46750.6419	23559.0804	1966.6995	9614.019
INT_STITCHED_1482	chr3	34633687	34660705	NM_011443	YES	14346.558	11107.0998	35744.814	8562.0042	48421.6596	28922.769	100728.5076	26839.6812	22095.3204
INT_STITCHED_1607	chr3	88375442	88380083	NM_025448	YES	13240.773	11906.0214	17622.3411	1360.2771	3050.0652	6451.9182	6983.3127	4255.3329	9739.1385
INT_STITCHED_1626	chr3	95455034	95468269	NM_008562	YES	5926.633	2823.0255	4715.6305	4544.899	27367.333	45159.1435	48797.445	11915.4705	16992.4165
INT_STITCHED_1629	chr3	96380383	96382115	NM_027241	YES	1595.6916	1247.3864	2109.9224	1547.542	12457.0636	9183.7568	13947.1032	1074.5328	5947.1684
INT_STITCHED_1630	chr3	96479158	96484864	NM_001081139	YES	3956.5404	3747.1302	4173.939	3752.2656	2664.1314	11729.2536	10072.2312	7580.421	4574.5002
INT_STITCHED_1658	chr3	103008304	103019058	NM_026602	YES	6166.3436	11607.8676	9699.0326	1381.889	6314.7488	18758.2022	9949.6008	9501.159	8777.4148
INT_STITCHED_1732	chr3	129247012	129261362	NM_130450	YES	6288.17	4850.3	7618.415	2572.955	14098.875	13447.385	10205.72	14589.645	6354.18
INT_STITCHED_1744	chr3	133181431	133197648	NM_001040400	YES	11767.0552	9923.1823	26153.1559	5598.1084	11317.8443	11814.0845	13192.5295	15458.0444	13735.799
INT_STITCHED_1749	chr3	135208956	135210744	NM_027288	YES	3753.3696	4968.3156	11247.0564	2065.4976	15791.7948	2672.5236	19921.1808	1189.7352	5565.5076
INT_STITCHED_1973	chr4	55469259	55491081	NM_010637	YES	15083.3664	20359.926	29112.7302	5156.5386	22878.1848	33175.9866	52855.0662	26009.6418	15646.374
INT_STITCHED_2076	chr4	98507649	98514709	NM_172872	YES	2139.886	2447.702	2670.798	3332.32	9984.958	8180.422	11022.072	5632.468	4954.002
